ISIN,Price,Callable,Rating,Z_Spread
DE000CZ45VM4,98.104,N,BBB,-42.5558999131423
XS2068065163,96.54979,Y,BBB,-42.61756979531092
XS1574158082,98.284,Y,A,-42.65120205700732
XS2242633332,55.165,Y,A+,-42.98706477433756
XS2203996132,96.15742,Y,BBB+,-42.9882683447393
XS2052313827,89.9,Y,BBB,-43.119880028650826
XS2227196404,97.174,N,BBB-,-43.191871947536846
FR0013421815,93.82,N,A+,-43.33156823464865
XS2448014808,95.11448,Y,A+,-43.47033461610986
XS1995662027,93.576,Y,BBB+,-43.97641474538287
XS2193982803,97.75887,Y,BBB-,-44.0955871458839
XS1734533372,97.1719,Y,A-,-44.17597568236134
XS2114852721,72.93295,Y,A-,-44.67922058826414
XS2126169742,98.1245,Y,NR,-44.733814017931344
XS2412732708,95.64967,Y,NR,-44.82243497321975
XS2018637327,97.23684,Y,BBB,-44.85786478577794
XS1405765733,98.7721,Y,BBB+,-44.89536447014659
XS2079105891,97.18313,Y,BBB,-45.03246036086353
FR0013518057,92.02386,N,BBB,-45.19642572845826
DE000A2YPFU9,89.21523,N,A,-45.24719788592896
FR0013506516,98.527,Y,A-,-45.59937391689617
XS1485533431,95.982,Y,BBB,-45.86448476308434
XS2197349645,88.37713,Y,BBB+,-46.08440330584611
AT0000A2GH08,97.71545,N,A,-46.385118927922555
XS1505132602,98.176,Y,BBB+,-46.53078752620399
FR0013204468,95.49501,N,A+,-46.556164175651055
XS1979280937,92.9,Y,BBB+,-46.605927443821635
XS1506398244,97.834,N,AA-,-47.155989681634544
XS2386186576,54.584,Y,A+,-47.51240028260188
XS2441552192,95.32973,Y,A-,-47.52540068670493
XS1960678255,98.33838,Y,A-,-47.560135109606584
FR0013517307,96.045,Y,A,-47.731675944463674
BE6333133039,96.60932,Y,NR,-47.98503192628729
FR0014002PC4,95.04606,Y,BBB-,-48.06386873271503
XS2052321093,74.18098,Y,BBB+,-48.2652290053477
XS2237447961,87.35905,Y,BBB-,-48.30095703218722
XS2100664114,93.105,Y,BBB,-48.30707745593091
FR0013421369,94.24264,N,A+,-48.58266292432155
FR0013447877,98.311,Y,BBB-,-48.60597932706151
XS1505573482,98.52081,N,BBB+,-48.61139976760314
XS2050406177,74.20653,Y,A-,-48.63481507783589
XS1503131713,95.5224,N,BBB+,-48.70753339365174
FR0013203825,90.123,Y,A-,-49.07475872629134
FR0013425147,96.469,Y,BBB+,-49.16562474177734
DE000A2GSLY0,97.01103,N,A,-49.49557261424956
XS2447564332,96.173,N,A,-49.544941005549205
XS2347367018,92.75218,Y,NR,-49.676589645711985
XS2412556461,98.221,Y,BBB,-50.397448222012564
FR0013220258,98.6104,Y,A-,-50.82474435934404
XS2434787235,84.94949,N,BBB+,-51.25938942977403
XS1197833053,98.37704,Y,A+,-51.52202134940562
XS2113911387,97.08833,Y,BBB-,-51.563580305450685
XS2177441990,97.7599,Y,BBB-,-51.56623475847115
DE000A3MP4W5,55.033,Y,BBB+,-51.972716312165616
XS2168478068,98.848,Y,BBB+,-52.178878233611115
XS2084488209,93.833,Y,BBB-,-52.40464081678018
XS1463043973,98.19437,N,A,-52.5572561956264
XS1808482746,96.79614,Y,NR,-52.981978037119
XS2449330179,97.628,Y,NR,-53.188583272601036
FR0014007VJ6,95.04012,Y,BBB,-53.1914060602574
XS2462321212,98.09666,Y,AA-,-53.24527742501544
FR0013505542,98.314,Y,NR,-53.56856160293987
FR0013216926,95.969,Y,BBB+,-53.64858023898437
XS2357754097,89.403,Y,BBB+,-53.79879608171179
FR0013431277,90.387,N,BBB+,-53.839142251462206
XS1963555617,91.42617,Y,A+,-54.36268089401852
FR0013405040,85.51656,Y,BBB,-54.44965384139903
FR0013241346,98.41761,Y,A,-54.78322773055135
XS2051670300,95.38,Y,NR,-55.31881418326456
DE000A19S4V6,97.408,Y,AA,-55.32582727490618
XS2439004685,85.678,Y,A,-55.440562755379
XS1761721262,97.203,Y,NR,-55.5600359075413
XS2418392143,90.667,Y,NR,-56.03761954910892
XS2463961321,98.138,Y,A,-56.14283506158711
XS1505896735,96.11,Y,BBB+,-56.150028623978265
BE6332786449,98.62798,Y,NR,-56.19043831982104
XS2304664597,91.17842,N,BBB,-56.2874797391362
XS2058557260,74.91377,Y,A-,-56.28809957902046
FR0013507654,96.45718,Y,A-,-56.33168917222245
FR0013506292,98.008,Y,BBB+,-56.46040396658385
FR0014008MT2,95.00221,N,A+,-56.587568102268726
XS2002017361,98.49784,N,BBB,-56.657672338902074
XS1968706520,95.333,Y,A,-56.9655613443299
FR0013231099,98.636,Y,A-,-57.675828061391975
XS2019815062,91.038,Y,BBB+,-58.25594632507928
XS1513062411,80.63282,Y,A+,-58.495961275298484
FR0013409851,85.626,Y,AA-,-58.53590026602962
XS2446844594,93.589,Y,AA-,-58.537175917040976
FR0013404571,91.787,Y,A-,-58.67158939126519
